,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,staffExperience,writersExperience,directorsExperience,budget,revenue
117439,tt0120166,movie,The Sorcerer's Apprentice,The Sorcerer's Apprentice,0,2001.0,86.0,"Adventure,Family,Fantasy",35,1,4,150000000,215283742
117872,tt0120630,movie,Chicken Run,Chicken Run,0,2000.0,84.0,"Adventure,Animation,Comedy",40,20,8,45000000,224834564
117899,tt0120667,movie,Fantastic Four,Fantastic Four,0,2005.0,106.0,"Action,Adventure,Fantasy",40,16,4,220000001,498557315
117909,tt0120679,movie,Frida,Frida,0,2002.0,123.0,"Biography,Drama,Romance",33,13,4,12000000,56298474
117911,tt0120681,movie,From Hell,From Hell,0,2001.0,122.0,"Horror,Mystery,Thriller",38,14,8,35000000,74558115
117954,tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,0,2001.0,178.0,"Action,Adventure,Drama",40,16,4,93000000,871368364
117971,tt0120755,movie,Mission: Impossible II,Mission: Impossible II,0,2000.0,123.0,"Action,Adventure,Thriller",40,16,4,125000000,546388105
118012,tt0120804,movie,Resident Evil,Resident Evil,0,2002.0,100.0,"Action,Horror,Sci-Fi",39,4,4,33000000,102441078
118084,tt0120903,movie,X-Men,X-Men,0,2000.0,104.0,"Action,Adventure,Sci-Fi",40,12,4,75000000,157299717
118088,tt0120912,movie,Men in Black II,Men in Black II,0,2002.0,88.0,"Action,Adventure,Comedy",40,12,4,140000000,441818803
118089,tt0120913,movie,Titan A.E.,Titan A.E.,0,2000.0,94.0,"Action,Adventure,Animation",40,20,8,75000000,36754634
118091,tt0120917,movie,The Emperor's New Groove,The Emperor's New Groove,0,2000.0,78.0,"Adventure,Animation,Comedy",40,44,4,100000000,169327687
118294,tt0121164,movie,Corpse Bride,Corpse Bride,0,2005.0,77.0,"Animation,Drama,Family",40,20,8,40000000,117195061
118816,tt0121765,movie,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones,0,2002.0,142.0,"Action,Adventure,Fantasy",40,8,4,120000000,649398328
118817,tt0121766,movie,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith,0,2005.0,140.0,"Action,Adventure,Fantasy",40,4,4,113000000,850000000
119452,tt0122459,movie,Return to Me,Return to Me,0,2000.0,115.0,"Comedy,Drama,Romance",37,14,4,24000000,36609995
122823,tt0126029,movie,Shrek,Shrek,0,2001.0,90.0,"Adventure,Animation,Comedy",39,32,7,60000000,484409218
124837,tt0128158,movie,Deadfall,Deadfall,0,2000.0,86.0,Horror,20,8,4,12000000,66351
127178,tt0130623,movie,Dinosaur,Dinosaur,0,2000.0,82.0,"Adventure,Animation,Family",37,40,8,127500000,354248063
128208,tt0131704,movie,The Adventures of Rocky & Bullwinkle,The Adventures of Rocky & Bullwinkle,0,2000.0,92.0,"Adventure,Animation,Comedy",40,8,4,76000000,35134820
128728,tt0132245,movie,Driven,Driven,0,2001.0,116.0,"Action,Drama,Sport",38,10,4,94000000,54744738
129585,tt0133152,movie,Planet of the Apes,Planet of the Apes,0,2001.0,119.0,"Action,Adventure,Sci-Fi",40,16,4,105800000,395607166
129673,tt0133240,movie,Treasure Planet,Treasure Planet,0,2002.0,95.0,"Adventure,Animation,Family",40,24,8,140000000,109578115
130479,tt0134084,movie,Scream 3,Scream 3,0,2000.0,116.0,"Horror,Mystery",40,8,4,40000000,161834276
131193,tt0134847,movie,Pitch Black,Pitch Black,0,2000.0,109.0,"Action,Horror,Sci-Fi",40,12,4,23000000,53187659
131315,tt0134983,movie,Supernova,Supernova,0,2000.0,90.0,"Horror,Sci-Fi,Thriller",39,11,4,90000000,14828081
134672,tt0138524,movie,Intolerable Cruelty,Intolerable Cruelty,0,2003.0,100.0,"Comedy,Crime,Romance",40,20,8,60000000,119940815
134876,tt0138749,movie,The Road to El Dorado,The Road to El Dorado,0,2000.0,89.0,"Adventure,Animation,Comedy",39,12,12,95000000,76432727
135702,tt0139654,movie,Training Day,Training Day,0,2001.0,122.0,"Crime,Drama,Thriller",40,4,4,45000000,104876233
137885,tt0141926,movie,U-571,U-571,0,2000.0,116.0,"Action,War",39,12,4,62000000,127666415
